Status,Address,S/A,Price,For Tax Year,Gross Taxes,Sold Date,Days On Market,Age,Area,Total Bedrooms,Total Baths,Lot Sz (Sq.Ft.),Floor Area -Grand Total,Original Price,List Price,Driveway Finish,Floor Area - Unfinished,GST Incl,Foundation,Floor Area Fin - Basement,Zoning,Parking Places - Covered,# Rms,No. Floor Levels,Frontage - Feet,Depth,Type,Public Remarks
S,119 1840 160 STREET,F55,"$105,000 ",2020,$154.86 ,2/11/2021,13,47,South Surrey White Rock,3,2,0,925,"$135,000 ","$125,000 ",Concrete,0,,Concrete Slab,0,MHP,1,6,1,,,Manufactured,"Attention investors, flippers and handymen!  A little elbow grease will offer big rewards in this 3 bedroom, 2 bath manufactured home in Breakaway Bays.  Features almost 1,000 square feet of living space plus a large covered deck for year round entertaining and enjoyment also on a large lot and located in quiet cul-de-sac location close to the RV parking.  Offers a newer torch on roof but needs kitchen, paint and flooring.  Pad rental $1060 a month and includes electricity, water and garbage.  Endless possibilities.  Incredible opportunity.  Call today before it's too late!"
S,318 1840 160 STREET,F55,"$125,000 ",2020,$203.61 ,1/11/2021,0,40,South Surrey White Rock,2,2,0,924,"$129,900 ","$129,900 ",Concrete,0,,Concrete Block,0,MHR,1,5,1,,,Manufactured,"Breakaway Bays. Family park close to schools and all amenity's. Great location in the park, home has 2 bedrooms and 2 bathrooms. Big shed 11' x 19' great for handy man."
S,62 1840 160TH STREET,F55,"$138,000 ",2020,$222.25 ,3/12/2021,9,46,South Surrey White Rock,2,1,0,830,"$139,880 ","$139,880 ",,0,,Other,0,MOBILE,,4,1,,,Manufactured,"Breakaway Bays offers a very clean 2 bedroom 1 bath mobile in a quiet cul-de-sac. Minutes to shopping, restaurants, & Whiterock beach. The park offers an exercise room, a large clubhouse with pool tables and lounge, an outdoor swimming pool and lots of green space to walk your pet. No age restrictions, Maximum 2 pets allowed. Pad rental includes electricity and the majority of taxes. Easy to show & quick possession possible."
S,336 1840 160 STREET,F55,"$155,000 ",2020,$288.63 ,1/2/2021,32,42,South Surrey White Rock,2,1,0,840,"$164,900 ","$164,900 ",Asphalt,0,No,Other,0,MHP,1,4,1,,,Manufactured,"5 MINUTES FROM THE OCEAN this super cute single wide manufactured home is located in Breakaway Bays, one of the few family parks in the area and 2 small pets are permitted. The exterior was recently painted and the home has upgraded windows. Inside, lots of newer drywall, appliances, flooring and cabinets. You also get your own detached workshop as well. The park features a beautiful clubhouse and outdoor swimming pool. Transit within walking distance, shopping centers nearby and US boarder crossing is only a few minutes by car."
S,21 1840 160TH STREET,F55,"$155,000 ",2020,$184.57 ,3/17/2021,12,46,South Surrey White Rock,2,1,0,800,"$149,900 ","$149,900 ",,0,,Concrete Block,0,MHR,1,4,1,,,Manufactured,"Breakaway Bays. Family park 2 pets welcome with restrictions. Well maintained home in great location in the park. Steps away from clubhouse and outdoor pool with plenty of visitor parking close by.. 2 bedroom 1 bathroom home with big yard and lots of garden.. pad rent is $1044 per month and includes hydro, Water, Sewer, Garbage and snow removal.. Great community inside community.."
S,103 1840 160 STREET,F55,"$166,000 ",2020,$225.01 ,3/2/2021,29,48,South Surrey White Rock,2,1,0,816,"$175,000 ","$175,000 ",,0,,Concrete Slab,0,MHR,1,4,1,0,,Manufactured,"Single wide in Breakaway Bays in a quiet cul-de-sac, waiting for you! Lots of updates over the past few years which include newer top of the line kitchen, roof (2015), newer hot water tank, laminate flooring, new furnace, new gutters, brand new laundry, horizontal wood blinds & deck. Need ample storage? Every cabinet in the kitchen is thoughtfully planned out, a large 13 x 15 shop/storage behind the parking, and more storage under the deck! Minutes to shopping, restaurants, & W.R. beach. The park offers an exercise room, a large clubhouse with pool tables and lounge, an outdoor swimming pool and lots of green space to walk your pet. No age restrictions, Maximum 2 pets allowed. Pad rental $1,035.41 includes electricity and the majority of taxes. Easy to show & quick possession possible."
S,71 1840 160 STREET,F55,"$166,900 ",2020,$139.65 ,5/2/2021,34,48,South Surrey White Rock,2,1,0,768,"$179,900 ","$174,900 ",,0,,Concrete Block,0,MHR,1,6,1,,,Manufactured,"Breakaway Bays. Family park, close to beach, border and all shopping. 2 bedroom home updated in 2008. covered deck and carport, good size yard for the gardener with shed. pad rent $1054 includes electricity, water ,sewer, garbage and snow removal. Time slot showings 17th & 18th from 2-4pm please call to book a time. All offers to be in by 2pm Tuesday 20th."
S,82 1840 160 STREET,F55,"$182,000 ",2019,$192.64 ,3/7/2021,17,48,South Surrey White Rock,2,1,0,708,"$192,000 ","$192,000 ",,0,,Concrete Block,0,MHP,1,4,1,,,Manufactured,"Welcome to Breakaway Bays!  Buy with confidence with this completely remodeled modular/park model. Brand new torch on roof, skylight, windows with 2 faux blinds, custom colors, moldings and fixtures and laminate through out, custom kitchen with quartz counters & S/S appliances, newer furnace and brand new hot water tank, custom pax closet in mstr bdrm, 20 x 12 custom built deck with covered awning for year round entertaining and enjoyment, bonus storage shed and also conveniently located in quiet location in the park and located on a large lot for lots of outdoor living space.  Pad rental $1064.71 inc water & garbage.  No age restrictions, 2 pets allowed, plus amazing amenities and incredible location minutes to White Rock Beach, US border, schools, parks, shopping and transportation."
S,66 1840 160 STREET,F55,"$185,000 ",2020,$175.60 ,3/10/2021,36,45,South Surrey White Rock,1,1,0,720,"$214,900 ","$194,900 ",Asphalt,0,,Concrete Block,0,MHR,1,4,1,,,Manufactured,"Breakaway Bays recently updated home. including new paint, flooring, hot water tank, high-end stainless steel appliances, vinyl double pane windows, faux wood blinds and window trim,  10 x 15 shed/shop, laundry/storage room and the list goes on. located in cul-de-sac backing on to green space and 5 minutes to beach. 2 pets ok with restrictions, pad rent $1045.54 per month includes hydro, garbage, water, snow removal, outdoor swimming pool, pool table in the clubhouse, exercise room and activity center. Don't be shy call today for showing.."
S,308 1840 160 STREET,F55,"$185,000 ",2019,$225.24 ,12/2/2020,140,40,South Surrey White Rock,2,2,0,"1,240","$219,000 ","$199,000 ",,0,No,Other,0,MHP,1,5,1,,,Manufactured,"Break-A-Way Bays, larger double-wide on a bright corner pad. Large covered front deck. Skylight, wood laminate flooring, wood panel walls throughout. Storage under the home. Non age restricted park with pool. Pets with restrictions allowed. Centrally located close to all amenities and shops. Rentals allowed. Pad rent $1132 per month includes Hydro. Available today!"
S,101 1840 160 STREET,F55,"$191,000 ",2020,$345.67 ,4/14/2021,20,46,South Surrey White Rock,2,1,0,768,"$179,007 ","$179,007 ",Asphalt,0,,Other,0,MHP,1,6,1,,,Manufactured,"updated decor, newer appliances, wonderful park location, drywall, lighting, bathroom, kitchens, flooring, windows. New roof and gutters less than a year ago. This home feels like new and is located in a quiet cul de sac and has a private side yard with grass."
