Status,Address,S/A,Price,For Tax Year,Gross Taxes,Sold Date,Days On Market,Age,Area,Total Bedrooms,Total Baths,Lot Sz (Sq.Ft.),Floor Area -Grand Total,Original Price,List Price,Driveway Finish,Floor Area - Unfinished,GST Incl,Foundation,Floor Area Fin - Basement,Zoning,Parking Places - Covered,# Rms,No. Floor Levels,Frontage - Feet,Depth,Type,Public Remarks
S,16251 26 AVENUE,F57,"$1,410,000 ",2019,"$6,323.08 ",10/6/2020,5,11,South Surrey White Rock,4,4,"4,166.00","3,716","$1,399,900 ","$1,399,900 ",Concrete,0,,Concrete Perimeter,"1,287",RF-12,2,20,3,45,,House/Single Family,"Morgan Heights – Exceptional, 4bd/4ba 3,716sf residence with highly sought-after floor plan and situated in desirable area. Expertly envisioned & masterfully designed with designer colour schemes, gorgeous hardwood floors, updated light fixtures and many other thoughtful treatments. Main floor greets you with office and formal dinning with wet bar. Spectacular kitchen with updated stainless appl's, lots of cupboards & walk-in pantry.  Spacious great room featuring soaring ceilings & tranquil views of landscaped backyard & lrg cvrd deck. Upstairs; 3 spacious bdrms including master w/ dbl sided fireplace. Lrg 14’ x 10’ landing could be possibly be repurposed as 4th bdrm up! Down; add’l bdrm plus gym & separate nanny suite. Walking dist to shops, restaurants & Southridge School! Call today!"
S,16678 18A AVENUE,F59,"$1,410,000 ",2019,"$2,867.28 ",8/5/2020,14,0,South Surrey White Rock,6,6,"3,909.00","3,556","$1,449,000 ","$1,449,000 ",,0,No,Concrete Perimeter,0,RF13,,17,3,49.21,,House/Single Family,"Welcome to this immaculate BRAND NEW MOVE IN READY 6 Bed 6 Bath luxury residence located in Grandview Heights. This home is built for the modern family in mind. This home consists of an open concept floor plan, wok/spice kitchen, walk-in-closets, media room, speakers wired throughout, AIR CONDITIONING and a LEGAL 2 Bedroom suite. Close to shops, recreation and schools. View today! OPEN BY APPOINTMENT Friday Saturday & Sunday 1:00-5:00PM."
S,1039 163A STREET,F55,"$1,415,000 ",2019,"$4,784.38 ",11/18/2020,44,27,South Surrey White Rock,4,3,"10,416.00","3,927","$1,560,000 ","$1,499,000 ",,0,,Concrete Perimeter,"1,588",RF,2,14,2,87,120,House/Single Family,"Renovated Rancher with basement on a 10,416 sf large corner lot, featuring 4 BDRM + Den and 3 full BTHRM; customer designed layout to catch up lots nature light; nicely fenced west and south private backyard; the newly update including 2019 furnace and hot water tank, 2019 appliance, 2019 complete renovated kitchen, all 3 bathrooms; laminating floor through out all floor, new paint, new ceiling lights and all blinders, nicely finished landscaping; downstairs has separate entry, one bedroom with full bath, large recreation/gym, 2014 Roof; close to public transit, easy access to highway 99; Earl Marriott & Meridian catchment. Showing by appointment via agent touchbase only."
S,16707 16A AVENUE,F59,"$1,415,000 ",2019,$0.00 ,11/23/2020,63,0,South Surrey White Rock,6,5,"4,063.00","4,043","$1,469,900 ","$1,469,900 ",,0,No,Concrete Perimeter,0,RF12,2,16,3,55,,House/Single Family,"Welcome Home to your brand new & BRIGHT 4000+sqft Custom Home on Large corner lot CULDESAC in sunny South Surrey's newest & most desirable Pacific Heights neighbourhood. Huge & open dble height foyer leads to grand staircase, main floor lounge, office nook, massive Great Room, Chef's Kitchen w/ top of line appliances & oversized island & dining room - all with gorgeous floors & 10ft ceilings. Boasting 4 large BR's up w/ Master Suite & spa-inspired ensuite, 2 more bathrooms & laundry. Legal 2 BR suite down (or 1 BR suite & media room for main home use) w/ side access allows backyard privacy and exclusive use.  New Edgewood School catchment! New city park 1 block away coming soon! Only 1 min to Hwy 99, 5 min to beach/shopping/Grandview Pool."
S,17138 0A AVENUE,F59,"$1,415,476 ",2019,"$2,912.89 ",8/3/2020,5,0,South Surrey White Rock,6,6,"5,481.00","3,629","$1,450,000 ","$1,450,000 ",,0,,Concrete Perimeter,0,RES,2,13,3,43.83,,House/Single Family,"Beautifully built home in just launched SUMMERSET Phase 5 by Landstar Projects. Spacious 3,629 SF home with bonus 2 bedroom legal suite. Chef's kitchen with quartz counter tops, SS appliances & extra large pantry. Open floor plan with hardwood floors throughout main & built-in cabinetry and top of the line light fixtures. Upstairs has 4 bedrooms each with a spa inspired ensuite or shared bath. Master has spacious walk in closet and luxurious ensuite with frameless glass shower, soaker tub and Nu heated floors. Downstairs features a 2 bedroom legal suite plus a large media room for upstairs use. Attached double garage and large South facing fully fenced yards. Brand new elementary school opening soon, 5 minute walk to beach and a short drive to the shops of Morgan Crossing."
S,17132 0A AVENUE,F59,"$1,415,476 ",2019,"$3,246.91 ",7/25/2020,124,0,South Surrey White Rock,6,6,"5,481.00","3,632","$1,450,000 ","$1,450,000 ",,0,,Concrete Perimeter,0,RES,2,13,3,43.83,,House/Single Family,"Beautifully built home in just launched SUMMERSET Phase 5 by Landstar Projects. Spacious 3,632 SF home with bonus 2 bedroom legal suite. Chef's kitchen with quartz counter tops, SS appliances & extra large pantry. Open floor plan with hardwood floors throughout main & built-in cabinetry and top of the line light fixtures. Upstairs has 4 bedrooms each with a spa inspired ensuite or shared bath. Master has spacious walk in closet and luxurious ensuite with frameless glass shower, soaker tub and Nu heated floors. Downstairs features a 2 bedroom legal suite plus a large media room for upstairs use. Attached double garage and large South facing fully fenced yards. Brand new elementary school opening soon, 5 minute walk to beach and a short drive to the shops of Morgan Crossing."
S,14528 SATURNA DRIVE,F54,"$1,416,000 ",2019,$0.00 ,8/8/2020,2,55,South Surrey White Rock,4,4,"9,001.00","3,881","$1,449,000 ","$1,449,000 ",,0,,Concrete Perimeter,0,SFR,2,15,3,75,36.58,House/Single Family,OPEN HOUSE CANCELED
S,14885 35A AVENUE,F58,"$1,418,000 ",2019,"$3,921.37 ",9/12/2020,179,1,South Surrey White Rock,5,5,"3,703.00","3,623","$1,498,000 ","$1,498,000 ",,0,,Concrete Perimeter,0,RF-12,,14,3,48,93,House/Single Family,"Rosemary Heights West - Come home to this exceptionally built, contemporary styled, 5bd/5ba, 3,623sf home with expansive views of the north shore mountains and the Nicomekl river valley. Situated in the area's newest enclave of West Coast styled family homes. Wonderfully envisioned interiors, illuminated by the natural light from the sweeping vistas, invite you in at the front entrance. Further in is the beautifully appointed, modern kitchen w/clean lines, stone cntrs & white cabinetry. Upstairs are 4 spacious bdrms, two of which are ensuited, incl the Mstr w/spa-like ensuite. Below is a recreation room w/wet bar & dedicated media room; PLUS, a separate 1 bdrm LEGAL suite ready for rental or family and guest. Call today to view!"
S,2076 165A STREET,F57,"$1,418,952 ",2019,$0.00 ,9/2/2020,48,0,South Surrey White Rock,4,4,"3,857.00","3,080","$1,418,952 ","$1,418,952 ",,0,No,Concrete Perimeter,0,,2,13,3,44,87.75,House/Single Family,"Luxury FOXRIDGE home in the brand new EDGESTONE community. This stunning home is an entertainer's dream, featuring a large open main floor with formal dining room / flex room with double french doors accessing a covered balcony, butler's pantry, huge kitchen with built in Bosch appliances, great room with soaring 19' high ceilings & OVER 500 SQ.FT. OF EXTERIOR COVERED PATIO SPACE! The upper level has master bedroom with double W.I.C., vaulted ceiling and spa inspired ensuite. The basement is finished with 1 bdrm legal suite plus huge storage room for homeowners use. Quick possession available! Visit our sales office for more details."
S,14345 36A AVENUE,F51,"$1,420,000 ",2019,"$4,672.56 ",11/30/2020,38,11,South Surrey White Rock,4,3,"6,240.00","2,501","$1,498,000 ","$1,449,800 ",,0,,Concrete Perimeter,0,SFD,2,11,2,44,142,House/Single Family,"Pride of ownership & tasteful upgrades, this traditional yet modern home has it all. Terrific open concept, high vaulted ceilings & tons of windows to bring in an abundance of natural light. Big family style kitchen with high-end appliances & 6 burner gas range. Open dining & family room off kitchen with cozy gas fireplace, as well as the large covered deck with built-in hot tub, perfect for year round use. Upstairs has 4 spacious bedrooms including master with walk-in closet & deluxe ensuite with walk-in shower & separate jetted soaker tub. Special features throughout include hardwood floors, heated bathroom flooring, built in sound system, crown moulding & designer lighting. Backyard is a beautifully landscaped oasis complete with ponds & a great sunny exposure."
